,annotated_is_accurate_level,annotated_is_accurate,annotated_is_artifacts,annotated_is_artifacts_level,annotated_is_visualy_consistence,annotated_is_good_quality,annotated_is_extensive_difference_caption_accurate,metadata_annotated_difference_caption_explanation,metadata_annotated_visualy_consistence_explanation,metadata_annotated_good_quality_explanation,instruction,rich_instruction,artifacts_bboxes,extensive_caption,caption,action,id,split,Image1,Image2,Answer.taskAnswers,metadata_annotated_is_accurate_level,metadata_annotated_is_accurate,metadata_annotated_is_artifacts,metadata_annotated_is_artifacts_level,metadata_annotated_is_visualy_consistence,metadata_annotated_is_good_quality,metadata_annotated_is_extensive_difference_caption_accurate,annotators
0,2,True,False,1,False,True,True,"['A small whale was added to the scene, jumping over the boat on the lake, with water spray behind it and over the boat, and some of the texture of the far mountain range becoming a darker shade, as well as the shoreline being slightly smoothed out.', 'A big whale was added to the scene, jumping over the boat on the lake. The mountain behind the whale is altered; the mountain patterns are smoothened and the texture looks different, color is changed, the base of the mountain is smoothened. The upper part of the boat is distorted. Also, the entire image is distorted slightly at some places. Water splashes added behind and under the whale. ', 'A big whale was added to the scene, jumping over the boat on the lake. The land mass behind and to the right of the whale is grayed out, making it appear flat.']","['The whale looks more dolphin-like, and has a very odd, too slim, artificial shape.', 'The front part of the whale looks a bit odd. The tail also looks unclear. ', 'The shape of the whale is off on the head and the fin is placed too far away from center.']","[""The whale's skin is too smooth."", 'The whale looks blurry, especially the top side. ', '']",Make a big whale jump over the boat.,Add a big whale jumping over the boat on the lake.,[],"A big whale was added to the scene, jumping over the boat on the lake.",A whale was added jumping over the boat.,Add,319494_Make a big whale jump over the boat._1,test,https://d3f6n9ckq6wheg.cloudfront.net/319494_Make+a+big+whale+jump+over+the+boat._1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Make%20a%20big%20whale%20jump%20over%20the%20boat..png,"[{""DispenseROPTrigger"":""2"",""good_quality_explanation"":""The whale's skin is too smooth."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":true,""extensive_difference_caption_not_accurate"":false},""is_extensive_difference_caption_accurate_explenation"":""A small whale was added to the scene, jumping over the boat on the lake, with water spray behind it and over the boat, and some of the texture of the far mountain range becoming a darker shade, as well as the shoreline being slightly smoothed out."",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The whale looks more dolphin-like, and has a very odd, too slim, artificial shape.""}]","[2, 2, 2]","[True, True, True]","[True, False, False]","[1, 1, 1]","[False, False, False]","[True, True, False]","[True, True, True]","[1, 2, 3]"
1,0,False,False,1,False,True,False,"['The texture of the door, the concrete surrounding it, the platform below the door, and the white wall near the door area have been altered in texture. ', 'The brown metal garage door was altered. The area around the door is altered; the black patches above the door are nearly removed, the shading on the tiles left to the door is altered, the yellow area below the door is lightened. The entire image other than the edit is blurred slightly. ', 'The brown metal garage door was given a dark green bottom. The grooves of the door are darker on the left end, matching the rest of the tone on the right. The framing around the door is smoothed out along with the brick area above the door. The ground below the door is shifted to a deep yellow orange.']","['The door appears shorter than the original.', 'The door is altered and not removed. A grey panel is added at the bottom of the door. Light colored shading on the door along the edges are removed. The grey tiles are smoothened and the dark grey shading is removed. The white vertical line is brightened. ', 'The door was not removed from the background and the door was modified instead. ']","['The concrete surrounding the door have lower resolution than the rest of the image.', 'The edit appears smoother. ', '']",remove the door,Remove the brown metal garage door from the image.,[],The brown metal garage door was removed from the image.,The door was removed.,Remove,272876_remove the door_2,test,https://d3f6n9ckq6wheg.cloudfront.net/272876_remove+the+door_2_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_remove%20the%20door.png,"[{""DispenseROPTrigger"":""1"",""good_quality_explanation"":""The concrete surrounding the door have lower resolution than the rest of the image."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":false,""partially_accurate"":true},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The texture of the door, the concrete surrounding it, the platform below the door, and the white wall near the door area have been altered in texture. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The door appears shorter than the original.""}]","[1, 0, 0]","[True, True, True]","[False, True, False]","[2, 1, 1]","[False, False, False]","[True, True, False]","[False, False, False]","[4, 2, 3]"
2,0,False,False,1,False,True,False,"['The laptop screen displaying a green image of leaves is changed to another screen showing green leaves. The remaining area of the image is distorted and blurred slightly at various places. ', 'The laptop screen displaying leaves was changed to a different image of leaves. ', 'The laptop screen displaying a static image is given clarity so the image can be easily seen.']","['Instead of turning off the laptop, the screen is distorted, blurred and smoothened. ', '', 'The laptop is still on, with light and detail still visible on the screen.']","['The resolution is low and blurry. ', '', 'No proper edit was made to be judged.']",Turn off the laptop.,Change the laptop screen from displaying a green image of leaves to being black.,[],The laptop screen displaying a green image of leaves was changed to a black screen.,The laptop screen was turned off.,Change Attribute,519432_Turn off the laptop._1,test,https://d3f6n9ckq6wheg.cloudfront.net/519432_Turn+off+the+laptop._1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Turn%20off%20the%20laptop..png,"[{""DispenseROPTrigger"":""0"",""good_quality_explanation"":""The resolution is low and blurry. "",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":true,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The laptop screen displaying a green image of leaves is changed to another screen showing green leaves. The remaining area of the image is distorted and blurred slightly at various places. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""Instead of turning off the laptop, the screen is distorted, blurred and smoothened. ""}]","[0, 1, 0]","[True, True, True]","[False, False, False]","[1, 0, 1]","[False, True, False]","[True, False, True]","[False, False, False]","[2, 4, 3]"
3,2,True,False,1,False,True,False,"['One of the skiers in the background was replaced with a thin brown bear. The green ski of the person sitting in the snow is now darker in color. The person in the purple jacket, the trees in the background, and the snow surrounding the bear have all been altered in appearance, slightly. ', 'One of the skiers in the background was turned into a human bear hybrid. The snow, trees, and person in purple near the man-bear are all warped mildly.', 'One of the skiers in the background was replaced with a towering brown bear. The area around the bear is altered; the trees behind are blurred and altered, the snow is smoothened, the edge of the snow is distorted, the green patch near the skier leg is altered and its color and size changed, the pink skier on the left is distorted and blurred greatly, a black patch is added under the bear. Other that that, the image is little distorted at some places. ']","['The bear has no upper body features and has an inconsistent shape, also without any consistent facial shape.', 'Instead of replacing, the brown bear appears part human indicating a bad shape and texture for the bear.', 'The shape of the bear is not natural and it looks like a man in bear costume. The bear shape is not right and the features of the bear are not clear- the legs are smooth, the right paw looks missing, the head looks odd. p']","['', 'The bear is too smooth and resolution feels too low.', 'The texture of the bear looks smooth in the hands and legs. ']",change one of the people for a brown bear,Replace one of the skiers in the background with a brown bear standing on its hind legs.,"[{'class': 'person', 'detail1_bbox': [[205, 639, 242, 736]], 'detail2_bbox': [[205, 634, 270, 768]]}, {'class': 'ski_parka', 'detail1_bbox': [[207, 654, 240, 689]], 'detail2_bbox': [[207, 644, 268, 700]]}, {'class': 'snowboard', 'detail1_bbox': [[490, 771, 525, 785], [451, 766, 480, 785]], 'detail2_bbox': [[445, 751, 474, 783]]}]",One of the skiers in the background was replaced with a towering brown bear.,One of the skiers was replaced with a bear.,Replace,432216_change one of the people for a brown bear_1,test,https://d3f6n9ckq6wheg.cloudfront.net/432216_change+one+of+the+people+for+a+brown+bear_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_change%20one%20of%20the%20people%20for%20a%20brown%20bear.png,"[{""DispenseROPTrigger"":""2"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""One of the skiers in the background was replaced with a thin brown bear. The green ski of the person sitting in the snow is now darker in color. The person in the purple jacket, the trees in the background, and the snow surrounding the bear have all been altered in appearance, slightly. "",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The bear has no upper body features and has an inconsistent shape, also without any consistent facial shape.""}]","[2, 1, 2]","[True, True, True]","[False, False, True]","[1, 1, 1]","[False, False, False]","[False, True, True]","[False, False, True]","[4, 3, 2]"
4,2,True,False,1,False,False,False,"['The light-colored food with orange pieces in the wooden bowl was changed to a white, creamy substance with brown pieces (dessert). the color of the bowl on the inside, as well as the brown background behind the ball have slightly been altered in color. On the right side of the bowl, there is now a slight nick on the edge.', 'The light-colored food with orange pieces in the wooden bowl was changed to a white, creamy substance with brown pieces that look like chocolate. The top part of the bowl is altered; the edges are distorted, the color is changed, texture is made smoother. A grey blurry patch is added above the bowl edge on the left side. The bowl looks a bit cut on the edge on the right side. The entire image is very mildly distorted at some place. ', 'The light-colored food with orange pieces in the wooden bowl was changed to a white, creamy substance with yellow pieces (dessert). The inside of the bowl was made lighter and the object behind the bowl on the left is being illuminated more. The front right side of the bowl is shifted outward.']","['The desert include circular brown items that do not reflect any real life fruit or food item. ', 'The texture of the dessert is very smooth and looks a little graphical.', '']","['', 'The resolution looks a bit low and the edit is smooth. ', '']",let there be a bowl of dessert,"Change the light-colored food with orange pieces in the wooden bowl to a white, creamy substance with yellow pieces (dessert).","[{'class': 'person', 'detail1_bbox': [[46, 1, 496, 80]], 'detail2_bbox': [[44, 1, 496, 78]]}]","The light-colored food with orange pieces in the wooden bowl was changed to a white, creamy substance with yellow pieces (dessert).",The food in the bowl was changed to dessert.,Change Attribute,172686_let there be a bowl of dessert_1,test,https://d3f6n9ckq6wheg.cloudfront.net/172686_let+there+be+a+bowl+of+dessert_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_let%20there%20be%20a%20bowl%20of%20dessert.png,"[{""DispenseROPTrigger"":""2"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The light-colored food with orange pieces in the wooden bowl was changed to a white, creamy substance with brown pieces (dessert). the color of the bowl on the inside, as well as the brown background behind the ball have slightly been altered in color. On the right side of the bowl, there is now a slight nick on the edge."",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The desert include circular brown items that do not reflect any real life fruit or food item. ""}]","[2, 2, 3]","[True, True, True]","[False, False, False]","[1, 2, 1]","[False, False, True]","[False, True, False]","[False, False, True]","[4, 2, 3]"
5,2,True,False,1,False,True,True,"['The silver Sony logo on the television was changed to the text ""TV"". Other than the edit, the entire image is little distorted and blurred throughout. ', 'The silver Sony logo on the television was changed to the text ""TV"". The texture on the area near the ""TV"" text appearing slightly darker.', 'The silver Sony logo on the television was changed to the text ""TV"".']","['The edited text is blurry and smudged. The text TV is larger the SONY and also has a different texture and color. The color is changed from silver to white. The texture looks flat. The edges of the font are not perfect and is jagged. The text has a greyish glow around it. All of these makes the text look graphical and odd. ', 'The text has an inconsistent shape and there seem to be residue on the edges of the text.', 'The size of the words TV are much larger than the Sony words they replace.']","['The text has low resolution and is smooth.', '', 'There is additional shading around the letters which looks unnatural.']","Change the text on the television to ""TV""","Change the silver Sony logo on the bottom right corner of the television to the text ""TV"".",[],"The silver Sony logo on the television was changed to the text ""TV"".","The text on the television was changed to ""TV"".",Change Attribute,"99645_Change the text on the television to ""TV""_1",test,https://d3f6n9ckq6wheg.cloudfront.net/99645_Change+the+text+on+the+television+to+$3TV$3_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Change%20the%20text%20on%20the%20television%20to%20%22TV%22.png,"[{""DispenseROPTrigger"":""2"",""good_quality_explanation"":""The text has low resolution and is smooth."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":true,""extensive_difference_caption_not_accurate"":false},""is_extensive_difference_caption_accurate_explenation"":""The silver Sony logo on the television was changed to the text \""TV\"". Other than the edit, the entire image is little distorted and blurred throughout. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The edited text is blurry and smudged. The text TV is larger the SONY and also has a different texture and color. The color is changed from silver to white. The texture looks flat. The edges of the font are not perfect and is jagged. The text has a greyish glow around it. All of these makes the text look graphical and odd. ""}]","[2, 2, 2]","[True, True, True]","[False, False, False]","[1, 1, 0]","[False, False, False]","[True, False, True]","[True, True, True]","[2, 4, 1]"
6,2,True,False,1,False,False,False,"[""A tennis ball was added near the dog's mouth. The background landscape has been slightly altered, particularly the area appearing near the tennis ball."", 'A green tennis ball was added in the air in front of the siting dog.', ""The large, red and inflamed wound on the dog's tongue was replaced with a green tennis ball. The area around the ball is distorted and blurred. Other than that, the image is very slightly distorted and blurred at some places.""]","[""The tennis ball has no white seams, which is inconsistent with normal tennis balls. The dog's mouth also do not appear to be biting on the tennis ball, where there's also no shadow interaction between the dog's mouth and the ball."", ""The tennis ball is floating in the air in front of the dog instead of being on the dog's mouth ."", ""The position of the tennis ball is not accurate- it is placed behind the mouth and it looks odd. It doesn't look like the ball is perfectly in the mouth.""]","['', 'The ball has a bit too much blur.', 'The resolution of the ball looks a bit low. ']",What if the dog had a tennis ball on his mouth?,"Replace the large, open wound on the dog's tongue with a green tennis ball.",[],"The large, red and inflamed wound on the dog's tongue was replaced with a green tennis ball.",The dog's wound was replaced with a tennis ball.,Replace,407083_What if the dog had a tennis ball on his mouth?_1,test,https://d3f6n9ckq6wheg.cloudfront.net/407083_What+if+the+dog+had+a+tennis+ball+on+his+mouth$7_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_What%20if%20the%20dog%20had%20a%20tennis%20ball%20on%20his%20mouth%3F.png,"[{""DispenseROPTrigger"":""2"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""A tennis ball was added near the dog's mouth. The background landscape has been slightly altered, particularly the area appearing near the tennis ball."",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The tennis ball has no white seams, which is inconsistent with normal tennis balls. The dog's mouth also do not appear to be biting on the tennis ball, where there's also no shadow interaction between the dog's mouth and the ball.""}]","[2, 1, 2]","[True, True, True]","[False, False, False]","[1, 0, 1]","[False, False, False]","[False, False, True]","[False, False, True]","[4, 3, 2]"
7,0,False,True,2,False,True,False,"['The mouse was changed to a different mouse that has a different shape. The texture of the keyboard of the laptop and the surface of the desk near the mouse has been changed.', 'The white mouse connected to the laptop was replaced by another mouse. The table around the mouse is distorted and smoothened. The mouse wire is distorted, position changed and color is lightened. The nearby wire on the right is also distorted. The right laptop edge is distorted, blurred and it is not straight. The laptop buttons are blurred. The entire image is blurred at various places. ', 'The white mouse connected to the laptop was shifted in design. The cord attached to the mouse is darker and sits closer to the table. The shadows of the mouse and cord are darker.']","['The new mouse has a different shape compared to the original. ', 'Instead of removing the mouse according to the edit instruction, it is replaced by another mouse that looks blurry.', 'The mouse was changed instead of being removed.']","['The mouse and the laptop of the keyboard has a blurry resolution than the rest of the image. ', 'The mouse is of low resolution and blurry. ', 'The effected area is blurrier after the edit.']",get rid of the mouse,Remove the white mouse that is connected to the laptop with a cord.,[],The white mouse connected to the laptop was removed.,The mouse was removed.,Remove,433605_get rid of the mouse_3,test,https://d3f6n9ckq6wheg.cloudfront.net/433605_get+rid+of+the+mouse_3_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_get%20rid%20of%20the%20mouse.png,"[{""DispenseROPTrigger"":""1"",""good_quality_explanation"":""The mouse and the laptop of the keyboard has a blurry resolution than the rest of the image. "",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":false,""partially_accurate"":true},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The mouse was changed to a different mouse that has a different shape. The texture of the keyboard of the laptop and the surface of the desk near the mouse has been changed."",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The new mouse has a different shape compared to the original. ""}]","[1, 0, 0]","[True, True, True]","[False, False, False]","[2, 2, 1]","[False, False, False]","[True, True, True]","[False, False, False]","[4, 2, 3]"
8,2,True,False,1,False,True,False,"[""The man's lips were changed to an open smiling expression. the spot on the man's forehead is larger. The skin color under his mouth is lighter. A scar has been added to the left of the man's smile."", ""The man's neutral face was changed to a smiling expression. The man have significantly less facial hair, as well as his chin area appearing brighter."", ""The man's slightly parted lips were changed to a smiling expression. The color of the face is brightened, texture smoothened, facial hairs look removed, odd orange patches are added above the mouth. The nose is altered a little. These alterations alter the face and the man looks a bit different. Other than these, the image is slightly blurred at various places. ""]","['The coloration on his face is off and the shape structure has been changed. It looks like the upper lip was removed and the teeth size is too big.', 'The mouth shape appears distorted, where the upper lip now appearing too thin. The chin area also has an inconsistent color with the rest of the face.', ""The mouth is modified a little-it doesn't look clear and the edges of the lips are rough. The teeth also looks a little big and blurry. The edit is not looking natural and doesn't fit the face. ""]","['', 'The mouth has a lower resolution than the rest of the image.', 'The edit is of low resolution. It is also blurry.']",Make him smile.,Change the man's slightly parted lips to a smiling expression.,[],The man's slightly parted lips were changed to a smiling expression.,The man's expression changed to a smile.,Change Attribute,499733_Make him smile._2,test,https://d3f6n9ckq6wheg.cloudfront.net/499733_Make+him+smile._2_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Make%20him%20smile..png,"[{""DispenseROPTrigger"":""2"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The man's lips were changed to an open smiling expression. the spot on the man's forehead is larger. The skin color under his mouth is lighter. A scar has been added to the left of the man's smile."",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The coloration on his face is off and the shape structure has been changed. It looks like the upper lip was removed and the teeth size is too big.""}]","[2, 2, 2]","[True, True, True]","[False, False, False]","[1, 1, 2]","[False, False, False]","[False, True, True]","[False, False, True]","[3, 4, 2]"
9,2,True,False,1,False,True,False,"[""An animal with missing facial features has been added on the left side of the photo. The surrounding leaves and trees near this animal has been slightly altered. A blue padding was added below the animal's feet. "", 'A tan and white kangaroo was added to the area with trees in the background. The area around the kangaroo is altered; leaves are distorted and blurred, a blue horizontal patch is added below the kangaroo and the fence below is distorted, the branches above are distorted and blurred. Also, the entire image other than the edit is blurred. ', 'A tan and white kangaroo standing on its hind legs was added to the grassy area with trees in the background. The fence the standing over gets a thick green transparent top to it and the limb above it is shifted. The greenery behind the kangaroo is shifted mildly.']","['The added animal has inconsistent texture and shape with a normal kangaroo. Its facial features are also missing.', ""The kangaroo looks unrealistic; bottom edges have a whitish glow, top edges have an orange glow, head is unclear, legs look too smooth, legs are thick and big and it doesn't look like kangaroo, the bottom portion doesn't resemble a kangaroo and it looks like a mix of another animal. The position of the kangaroo is also not right and it looks like it is standing on a thin fence. The texture of the fur is smooth and blurry."", 'The kangaroo is misshaped and the shading on it is off with too much light flowing around the form.']","['', 'Overall, the edit looks blurry and smooth.', ""The resolution is too high compared to the kangaroo's surroundings.""]",add a kangaroo,Add a tan and white kangaroo standing on its hind legs in the grassy area with trees in the background.,[],A tan and white kangaroo standing on its hind legs was added to the grassy area with trees in the background.,A kangaroo was added to the scene.,Add,373184_add a kangaroo_3,test,https://d3f6n9ckq6wheg.cloudfront.net/373184_add+a+kangaroo_3_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_add%20a%20kangaroo.png,"[{""DispenseROPTrigger"":""1"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":false,""partially_accurate"":true},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""An animal with missing facial features has been added on the left side of the photo. The surrounding leaves and trees near this animal has been slightly altered. A blue padding was added below the animal's feet. "",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The added animal has inconsistent texture and shape with a normal kangaroo. Its facial features are also missing.""}]","[1, 2, 2]","[True, True, True]","[False, False, False]","[1, 1, 1]","[False, False, False]","[False, True, True]","[False, False, True]","[4, 2, 3]"
